0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00
0.08	0.35	0.32	0.32	0.35	0.77	1.08	1.15	0.92	0.18	0.13	0.09	0.00	1.00	0.65	1.00
0.40	0.25	0.00	0.00	0.00	0.00	0.25	0.50	0.60	0.60	0.60	0.60	0.00	1.00	0.65	4.00
0.17	0.39	0.33	0.28	0.31	0.70	0.99	1.08	0.91	0.30	0.27	0.22	1.00	1.00	1.00	1.50
0.70	0.24	0.02	0.00	0.00	0.00	0.23	0.47	0.63	0.80	0.83	0.83	1.00	1.00	1.00	2.50
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	1.00	0.00
0.70	0.24	0.02	0.00	0.00	0.00	0.23	0.47	0.63	0.80	0.83	0.83	1.00	1.00	0.50	3.00
0.20	0.00	0.00	0.00	0.00	0.60	0.90	0.90	0.85	0.70	0.55	0.30	0.00	1.00	0.60	2.00
0.10	0.00	0.00	0.00	0.00	0.50	0.80	0.80	0.70	0.60	0.40	0.20	0.00	1.00	0.40	2.00
0.00	0.00	0.00	0.00	0.00	0.40	0.60	0.60	0.55	0.35	0.20	0.10	0.00	1.00	0.20	2.50
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
0.40	0.25	0.00	0.00	0.00	0.00	0.25	0.50	0.60	0.60	0.60	0.60	0.00	1.00	0.50	3.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
0.15	0.05	0.00	0.00	0.00	0.05	0.10	0.15	0.20	0.20	0.20	0.20	1.00	0.00	0.25	2.00
