12.72	351	5
12.63	352	5
12.54	353	5
12.45	354	5
12.36	355	5
12.27	356	5
12.17	357	6
12.08	358	6
11.99	359	6
11.89	360	6
11.80	361	6
11.70	362	6
11.61	363	6
11.52	364	6
11.42	365	6
11.38	366	6
