0.13	0.013	0.057	0.168	0.019	0.036	0.013	0.031	0.013	0.032	0.025	0.052	0.024	0.112	0.014	0.011	0.026	0.088	0.013	0.015	0.036	0.058	0.013
0.092	0.018	0.059	0.059	0.024	0.05	0.018	0.068	0.018	0.069	0.035	0.1	0.033	0.069	0.02	0.014	0.04	0.044	0.017	0.019	0.053	0.066	0.017
0.028	0.014	0.024	0.021	0.016	0.026	0.014	0.191	0.013	0.375	0.024	0.04	0.021	0.024	0.016	0.01	0.03	0.018	0.013	0.013	0.029	0.027	0.013
0.038	0.034	0.036	0.031	0.031	0.041	0.039	0.114	0.032	0.117	0.044	0.049	0.038	0.034	0.047	0.023	0.053	0.028	0.033	0.026	0.044	0.038	0.032
0.035	0.047	0.034	0.03	0.034	0.038	0.061	0.069	0.043	0.069	0.043	0.042	0.038	0.032	0.082	0.029	0.049	0.027	0.047	0.03	0.04	0.035	0.043
0.095	0.012	0.151	0.044	0.02	0.048	0.011	0.025	0.012	0.024	0.026	0.053	0.027	0.157	0.012	0.01	0.027	0.05	0.011	0.015	0.045	0.113	0.011
0.052	0.012	0.065	0.026	0.02	0.074	0.012	0.034	0.012	0.032	0.033	0.26	0.031	0.045	0.012	0.01	0.038	0.024	0.011	0.015	0.086	0.085	0.011
0.039	0.024	0.041	0.027	0.032	0.058	0.023	0.096	0.023	0.078	0.062	0.07	0.048	0.035	0.025	0.017	0.096	0.024	0.022	0.024	0.068	0.046	0.022
0.033	0.042	0.034	0.026	0.037	0.044	0.044	0.081	0.039	0.074	0.057	0.047	0.046	0.031	0.052	0.025	0.073	0.024	0.039	0.03	0.047	0.037	0.037
0.028	0.058	0.028	0.023	0.034	0.034	0.079	0.052	0.051	0.05	0.043	0.035	0.037	0.026	0.122	0.03	0.048	0.022	0.056	0.03	0.036	0.03	0.05
0.057	0.019	0.101	0.039	0.039	0.082	0.017	0.031	0.019	0.03	0.046	0.056	0.053	0.065	0.018	0.017	0.043	0.044	0.018	0.029	0.07	0.088	0.019
0.034	0.016	0.055	0.022	0.038	0.169	0.015	0.028	0.016	0.026	0.067	0.05	0.082	0.035	0.015	0.014	0.057	0.023	0.015	0.025	0.125	0.057	0.016
0.022	0.02	0.027	0.016	0.039	0.045	0.017	0.029	0.02	0.027	0.203	0.033	0.077	0.021	0.018	0.015	0.218	0.015	0.018	0.025	0.05	0.028	0.018
0.028	0.055	0.031	0.022	0.05	0.042	0.047	0.046	0.052	0.042	0.072	0.038	0.056	0.027	0.049	0.031	0.081	0.021	0.047	0.039	0.045	0.032	0.048
0.021	0.094	0.022	0.018	0.033	0.028	0.098	0.034	0.076	0.032	0.039	0.027	0.034	0.02	0.096	0.033	0.041	0.017	0.082	0.03	0.029	0.023	0.072
0.046	0.026	0.064	0.036	0.062	0.07	0.023	0.033	0.026	0.032	0.056	0.049	0.069	0.05	0.023	0.025	0.049	0.04	0.024	0.048	0.063	0.061	0.025
0.033	0.025	0.046	0.025	0.101	0.066	0.021	0.03	0.026	0.028	0.074	0.041	0.114	0.035	0.021	0.024	0.056	0.026	0.023	0.056	0.061	0.045	0.024
0.024	0.03	0.029	0.018	0.193	0.042	0.023	0.027	0.031	0.025	0.085	0.03	0.099	0.023	0.023	0.026	0.06	0.018	0.026	0.066	0.043	0.03	0.029
0.024	0.067	0.028	0.02	0.07	0.037	0.043	0.032	0.07	0.03	0.062	0.031	0.057	0.024	0.04	0.045	0.057	0.019	0.053	0.063	0.038	0.029	0.062
0.013	0.165	0.015	0.011	0.027	0.018	0.048	0.019	0.201	0.018	0.026	0.016	0.024	0.013	0.037	0.037	0.025	0.011	0.087	0.027	0.019	0.015	0.129
0.041	0.031	0.052	0.034	0.073	0.057	0.027	0.034	0.032	0.033	0.055	0.044	0.066	0.044	0.026	0.033	0.048	0.037	0.029	0.067	0.054	0.05	0.031
0.033	0.032	0.041	0.026	0.109	0.05	0.026	0.03	0.033	0.029	0.058	0.037	0.072	0.034	0.025	0.035	0.048	0.028	0.029	0.103	0.048	0.04	0.032
0.016	0.023	0.019	0.013	0.086	0.024	0.018	0.017	0.025	0.016	0.034	0.019	0.039	0.016	0.017	0.027	0.028	0.013	0.021	0.462	0.024	0.019	0.023
0.023	0.06	0.027	0.019	0.073	0.034	0.039	0.028	0.068	0.026	0.048	0.028	0.049	0.023	0.035	0.077	0.043	0.019	0.051	0.108	0.034	0.027	0.062
0.019	0.083	0.021	0.016	0.04	0.025	0.046	0.023	0.108	0.022	0.033	0.022	0.033	0.018	0.037	0.138	0.032	0.016	0.072	0.049	0.025	0.021	0.1
